代码,名称,市场,现价,涨幅,MA10
002296,辉煌科技,深圳主板,12.56,0.48,11.85
605358,立昂微,上海主板,40.94,-0.44,40.11
002286,保龄宝,深圳主板,9.52,-0.94,9.45
600562,国睿科技,上海主板,30.75,-1.16,30.3
600143,金发科技,上海主板,19.94,-1.14,19.85
600784,鲁银投资,上海主板,7.29,-1.75,7.26
002501,利源股份,深圳主板,2.69,-1.82,2.67
002858,力盛体育,深圳主板,16.8,-1.75,15.93
603660,苏州科达,上海主板,11.65,-2.27,11.39
000629,钒钛股份,深圳主板,3.46,-2.26,3.42
600550,保变电气,上海主板,12.7,-2.98,11.6
002978,安宁股份,深圳主板,36.65,-2.01,35.5
603596,伯特利,上海主板,55.45,-2.53,54.86
002081,金 螳 螂,深圳主板,3.79,-2.32,3.63
002920,德赛西威,深圳主板,134.2,-2.77,132.08
600682,南京新百,上海主板,8.99,-2.92,8.93
603969,银龙股份,上海主板,10.56,-2.76,10.42
002135,东南网架,深圳主板,5.44,-3.37,4.99
603356,华菱精工,上海主板,16.45,-3.12,15.39
